seed,representation,model,candidate,validation_f1,n_train,n_test,n_features,accuracy,f1,sensitivity,specificity,precision,tn,fp,fn,tp
44,SMILES,LogisticRegression,1,0.9230769230769231,730,183,2048,0.8907103825136612,0.9285714285714286,0.9027777777777778,0.8461538461538461,0.9558823529411765,33,6,14,130
45,SMILES,LogisticRegression,1,0.9310344827586207,730,183,2048,0.912568306010929,0.9436619718309859,0.9305555555555556,0.8461538461538461,0.9571428571428572,33,6,10,134
46,SMILES,LogisticRegression,1,0.9225352112676056,730,183,2048,0.8469945355191257,0.900709219858156,0.8819444444444444,0.717948717948718,0.9202898550724637,28,11,17,127
47,SMILES,LogisticRegression,1,0.9333333333333333,730,183,2048,0.8797814207650273,0.9225352112676056,0.9097222222222222,0.7692307692307693,0.9357142857142857,30,9,13,131
48,SMILES,LogisticRegression,1,0.8880866425992779,730,183,2048,0.8688524590163934,0.9148936170212766,0.8958333333333334,0.7692307692307693,0.9347826086956522,30,9,15,129
49,SMILES,LogisticRegression,1,0.9342560553633218,730,183,2048,0.9180327868852459,0.9484536082474226,0.9583333333333334,0.7692307692307693,0.9387755102040817,30,9,6,138
50,SMILES,LogisticRegression,1,0.9357142857142857,730,183,2048,0.8852459016393442,0.926829268292683,0.9236111111111112,0.7435897435897436,0.9300699300699301,29,10,11,133
51,SMILES,LogisticRegression,1,0.9342560553633218,730,183,2048,0.8743169398907104,0.9198606271777003,0.9166666666666666,0.717948717948718,0.9230769230769231,28,11,12,132
52,SMILES,LogisticRegression,1,0.9124087591240876,730,183,2048,0.8907103825136612,0.9300699300699301,0.9236111111111112,0.7692307692307693,0.9366197183098591,30,9,11,133
53,SMILES,LogisticRegression,0,0.9090909090909091,730,183,2048,0.8415300546448088,0.8960573476702509,0.8680555555555556,0.7435897435897436,0.9259259259259259,29,10,19,125
54,SMILES,LogisticRegression,0,0.9257950530035336,730,183,2048,0.8469945355191257,0.9,0.875,0.7435897435897436,0.9264705882352942,29,10,18,126
55,SMILES,LogisticRegression,1,0.9,730,183,2048,0.8961748633879781,0.9328621908127208,0.9166666666666666,0.8205128205128205,0.9496402877697842,32,7,12,132
56,SMILES,LogisticRegression,1,0.920863309352518,730,183,2048,0.8688524590163934,0.9154929577464789,0.9027777777777778,0.7435897435897436,0.9285714285714286,29,10,14,130
57,SMILES,LogisticRegression,1,0.9204152249134948,730,183,2048,0.912568306010929,0.9424460431654677,0.9097222222222222,0.9230769230769231,0.9776119402985075,36,3,13,131
58,SMILES,LogisticRegression,1,0.9328621908127208,730,183,2048,0.8743169398907104,0.9198606271777003,0.9166666666666666,0.717948717948718,0.9230769230769231,28,11,12,132
59,SMILES,LogisticRegression,1,0.9128919860627178,730,183,2048,0.8852459016393442,0.9252669039145908,0.9027777777777778,0.8205128205128205,0.948905109489051,32,7,14,130
60,SMILES,LogisticRegression,1,0.9154929577464789,730,183,2048,0.912568306010929,0.9440559440559441,0.9375,0.8205128205128205,0.9507042253521126,32,7,9,135
61,SMILES,LogisticRegression,1,0.9310344827586207,730,183,2048,0.8743169398907104,0.9192982456140351,0.9097222222222222,0.7435897435897436,0.9290780141843972,29,10,13,131
62,SMILES,LogisticRegression,1,0.9458483754512635,730,183,2048,0.8961748633879781,0.9323843416370107,0.9097222222222222,0.8461538461538461,0.9562043795620438,33,6,13,131
63,SMILES,LogisticRegression,1,0.9187279151943463,730,183,2048,0.9234972677595629,0.951048951048951,0.9444444444444444,0.8461538461538461,0.9577464788732394,33,6,8,136
64,SMILES,LogisticRegression,1,0.9436619718309859,730,183,2048,0.8961748633879781,0.931899641577061,0.9027777777777778,0.8717948717948718,0.9629629629629629,34,5,14,130
65,SMILES,LogisticRegression,1,0.9110320284697508,730,183,2048,0.8688524590163934,0.9117647058823529,0.8611111111111112,0.8974358974358975,0.96875,35,4,20,124
66,SMILES,LogisticRegression,1,0.926829268292683,730,183,2048,0.8852459016393442,0.9252669039145908,0.9027777777777778,0.8205128205128205,0.948905109489051,32,7,14,130
67,SMILES,LogisticRegression,1,0.9436619718309859,730,183,2048,0.907103825136612,0.9407665505226481,0.9375,0.7948717948717948,0.9440559440559441,31,8,9,135
68,SMILES,LogisticRegression,1,0.9351535836177475,730,183,2048,0.8797814207650273,0.9214285714285714,0.8958333333333334,0.8205128205128205,0.9485294117647058,32,7,15,129
69,SMILES,LogisticRegression,1,0.9328621908127208,730,183,2048,0.8797814207650273,0.9225352112676056,0.9097222222222222,0.7692307692307693,0.9357142857142857,30,9,13,131
70,SMILES,LogisticRegression,1,0.9323843416370107,730,183,2048,0.8961748633879781,0.9309090909090909,0.8888888888888888,0.9230769230769231,0.9770992366412213,36,3,16,128
71,SMILES,LogisticRegression,1,0.9110320284697508,730,183,2048,0.8743169398907104,0.9181494661921709,0.8958333333333334,0.7948717948717948,0.9416058394160584,31,8,15,129
72,SMILES,LogisticRegression,1,0.9202898550724637,730,183,2048,0.8743169398907104,0.9187279151943463,0.9027777777777778,0.7692307692307693,0.935251798561151,30,9,14,130
